0xff823b44,ExitTask_FW
0xff817744,ExportToEventProcedure_FW
0xffa9e59c,ExtractAssertObject_FW
0xffa6626c,FA.Delete_FW
0xff94f7ac,FatalError_FW
0xff869af4,Fclose_Fut
0xff869d08,Feof_Fut
0xff869d40,Fflush_Fut
0xff869c78,Fgets_Fut
0xff95e37c,FillRectangleToDialog_FW
0xff869ab8,Fopen_Fut
0xff869bd8,Fread_Fut
0xff81eb10,FreeMemory
0xff81eb10,FreeMemory_FW
0xff869cc0,Fseek_Fut
0xff869c28,Fwrite_Fut
0xffa4238c,GetAdChValue_FW
0xffa42410,GetAdVBattBottom_FW
0xffa486ac,GetBatteryTemperature
0xff81e3f8,GetBuildDate_FW
0xff81e410,GetBuildTime_FW
0xffa48698,GetCCDTemperature
0xff81aadc,GetCh_FW
0xffa690a4,GetCurrentAvValue,(stubs_entry_2.s)
0xff98cdd8,GetCurrentCaptureModeType_FW
0xffa6ac00,GetCurrentTargetDistance
0xff95e594,GetDialogBoxWindow_FW
0xff95ff04,GetDialogItemPosition_FW
0xff95e830,GetDialogItemPositionToDialog_FW
0xff95ff9c,GetDialogItemResolution_FW
0xff95e864,GetDialogItemResolutionToDialog_FW
0xff821d04,GetEventFlagValue
0xff81e434,GetFirmwareVersion_FW
0xff95e068,GetFocusedItemIDOfDialogItem_FW
0xff95e624,GetFocusScopeToDialog_FW
0xff95e0a0,GetItemHandleOfDialogBox_FW
0xff822a8c,GetNumberOfPostedMessages
0xffa48684,GetOpticalTemperature
0xff95fc18,GetPropertyFromDialogItem_FW
0xff95dadc,GetPropertyFromDialogItemWithID_FW
0xff95fd40,GetPropertyListFromDialogItem_FW
0xff95fcb0,GetPropertyTypeFromDialogItem_FW
0xff95db10,GetPropertyTypeFromDialogItemWithID_FW
0xff951134,GetSelfControllerHandle_FW
0xff821f1c,GetSRAndDisableInterrupt
0xff81ab3c,GetStringWithPrompt_FW
0xff81ebd8,GetSystemTime_FW
0xff8247a4,GetTimeOfSystem_FW
0xffa50fe8,GetZoomLensCurrentPoint,(stubs_entry_2.s)
0xffa51f24,GetZoomLensCurrentPosition
0xff823144,GiveSemaphore
0xff823144,GiveSemaphore_FW
0xff94f7e8,HardwareDefect_FW
0xffa66710,InitializeAdjustmentSystem_FW
0xffa9e400,InitializeDeveloperAidSystem_FW
0xff8a22ec,InPort_FW
0xff95f748,InstallDialogItem_FW
0xff9d9bcc,InstallMyCameraMenu_FW
0xff9d7bf4,InstallSetupMenu_FW
0xffaa0200,IntenseLED_FW
0xffac387c,iosDevAdd
0xffac3854,iosDevDelete
0xffac3b40,iosDrvInstall
0xff9c49d4,IsActiveExposureCompensationDialog_FW
0xffab8344,isalpha
0xff9dad0c,IsCalledStopEVF_FW
0xffab8374,isdigit
0xff9e12dc,IsEnableFirmUpgradeMenu_FW
0xff96c410,IsEnableRefreshPhysicalScreen_FW
0xffab83a4,islower
0xffab83d4,ispunct
0xffab83ec,isspace
0xffab8404,isupper
0xffab841c,isxdigit
0xffa4155c,kbd_pwr_off,(stubs_entry_2.s)
0xff95f5ec,KeepDefaultMoveFocusEventToDialog_FW
0xff82aa2c,LoadProperty_FW
0xffa9d1c0,LoadScript_FW
0xff814bc4,LocalTime
0xff98b614,LockEnterToDisplayOff_FW
0xff955f58,LockMainPower,(stubs_entry_2.s)
0xff96c26c,LockPhysicalScreen_FW
0xff95f4e8,LockRefreshDialog_FW
0xff819f88,LogCameraEvent
0xff953af8,LogiEvnt_LoadCameraLog_FW
0xffac27a0,lseek
0xffac27a0,lseek_FW
0xffa98ec4,MakeBootDisk_FW
0xff869a40,MakeDirectory_Fut
0xffa98ed8,MakeScriptDisk_FW
0xffa9e790,Mem32_FW
0xffabc030,memchr
0xffabc064,memcmp
0xffabc064,memcmp_FW
0xffabc0a0,memcpy
0xffaa0644,MemoryChecker_FW
0xffabc118,memset
0xffabc118,memset_FW
0xffabce4c,mktime
0xff983bb4,ModeLevelMovieRecForScript_FW
0xff983bf4,ModeLevelPlayForScript_FW
0xff983b74,ModeLevelStillRecForScript_FW
0xff950ffc,MoveControllerToTopOfZOrder_FW
0xff95d9b4,MoveDialogBoxPosition_FW
0xff95e720,MoveDialogControllerToTopOfZOrder_FW
0xff95fdd4,MoveDialogItemPosition_FW
0xff95e7c8,MoveDialogItemPositionToDialog_FW
0xffa6ae90,MoveFocusLensToDistance
0xff95e670,MoveViewPortPosition_FW
0xffa51e1c,MoveZoomLensWithPoint
0xff819190,NewTaskShell
0xff819190,NewTaskShell_FW
0xff947050,NR_SetDarkSubType
0xffac2ca0,open
0xffac2ca0,open_FW
0xff81abc4,OpenConsole_FW
0xffabe4c4,opendir
0xff8a22d8,OutPort_FW
0xff81eb90,Peek16_FW
0xff81eb84,Peek32_FW
0xff81eb9c,Peek8_FW
0xff81eb5c,Poke16_FW
0xff81eb48,Poke32_FW
0xff81eb70,Poke8_FW
0xff95392c,PostEventShootSeqToUI_FW
0xff953808,PostLogicalEventForNotPowerType
0xff953808,PostLogicalEventForNotPowerType_FW
0xff953894,PostLogicalEventToUI
0xff953894,PostLogicalEventToUI_FW
0xff822738,PostMessageQueue
0xff8953c0,PrePro.GetDarkSetUp_FW
0xff8953d0,PrePro.SetDarkSetUp_FW
0xffa9d634,Printf_FW
0xff94ec88,PT_atoi_FW
0xff94f098,PT_BatLvChange_Low_FW
0xff94f0a0,PT_BatLvChange_SysLow_FW
0xff94f090,PT_BatLvChange_Weak_FW
0xff94ec4c,PT_EraseAllFile_FW
0xff94f12c,PT_FinishBatteryTest_FW
0xff94f220,PT_GetBatteryLevel_FW
0xff94ed4c,PT_GetCaptureCount_FW
0xff94ecd4,PT_GetCaptureCountAll_FW
0xff94ed5c,PT_GetCaptureSuccess_FW
0xff94efec,PT_GetLocalDateAndTimeString_FW
0xff94ef88,PT_GetLocalDateString_FW
0xff94ef2c,PT_GetLocalTimeString_FW
0xff94f28c,PT_GetLowBatLv_FW
0xff94ee80,PT_GetPropertyCaseInt_FW
0xff94ee6c,PT_GetPropertyCaseString_FW
0xff94ed6c,PT_GetStrobeCount_FW
0xff94ed7c,PT_GetStrobeSuccess_FW
0xff94ec94,PT_GetSystemTime
0xff94ec94,PT_GetSystemTime_FW
0xff94f238,PT_GetWeakBatLv_FW
0xff94ec7c,PT_mod_FW
0xff94f078,PT_PlaySound_FW
0xff94f03c,PT_SetMessage_FW
0xff94ee44,PT_SetPropertyCaseInt_FW
0xff94ee30,PT_SetPropertyCaseString_FW
0xff94edd0,PT_ShowCaptureCount_FW
0xff94f0c8,PT_StartBatteryTest_FW
0xff94f060,PT_UndispMessage_FW
0xff94ecec,PT_UpCaptureCount_FW
