0xfc0e31e3,handle_PTP_OC_GetNumObjects
0xfc0e32bd,handle_PTP_OC_GetObjectHandles
0xfc0e342d,handle_PTP_OC_CANON_GetObjectInfoEx
0xfc0e363f,handle_PTP_OC_CANON_SendObjectByPath
0xfc0e363f,handle_PTP_OC_SendObject
0xfc0e37d9,handle_PTP_OC_CANON_SendPartialObject
0xfc0e3931,handle_PTP_OC_0x9060
0xfc0e398d,handle_PTP_OC_0x9062
0xfc0e420d,task_TrnsCtrlTask
0xfc0e4bd1,handle_PTP_OC_CANON_GetMACAddress
0xfc0e4c0b,handle_PTP_OC_CANON_SetRootCertificateData
0xfc0e4c6f,handle_PTP_OC_0x906e
0xfc0e4d33,handle_PTP_OC_CANON_GetRootCertificateData
0xfc0e4da9,handle_PTP_OC_CANON_GetRootCertificateSpec
0xfc0e4e13,handle_PTP_OC_CANON_DeleteWebServiceData
0xfc0e4e7b,handle_PTP_OC_CANON_SetWebServiceData
0xfc0e4f3d,handle_PTP_OC_CANON_GetWebServiceData
0xfc0e4fb1,handle_PTP_OC_CANON_GetWebServiceSpec
0xfc0e72c3,RequestDisconnectPTPIP_FW
0xfc0e7349,RequestConnectPTPIP_FW
0xfc0e7373,RequestConnectPTPIPDef_FW
0xfc0e73df,RegisterNotifyConnectPTPIP_FW
0xfc0e73df,RegisterNotifyPTPIP_FW
0xfc0e73f7,RegisterResponseConnectPTPIP_FW
0xfc0e73f7,RegisterResponsePTPIP_FW
0xfc0e740f,TerminatePTPIPTransportResponder_FW
0xfc0e7469,InitializePTPIPTransportResponder_FW
0xfc0e78c7,task_SelectFuncController
0xfc0eb6b5,TurnOnDisplay
0xfc0eb6c7,TurnOffDisplay
0xfc0ed78f,SetDefaultRecParameter_FW
0xfc0ef30f,task_dccdCalcTask
0xfc0f0869,task_DPOFTask
0xfc0f17db,task_GPSLogTask
0xfc0f345d,task_MediaStatusMngr
0xfc0f386d,task_MechaCPUTransfer
0xfc0f411d,task_Cave2MainTask
0xfc1080f9,closedir
0xfc108131,OpenFastDir
0xfc1081d1,ReadFastDir
0xfc108207,j_closedir
0xfc109baf,task_MechaNCTask
0xfc10a54b,task_MovieTranscoder
0xfc10ac11,get_canon_mode_list
0xfc12de15,GetSRAndDisableInterrupt
0xfc12de27,SetSR
0xfc12dfb1,GetMemInfo
0xfc12e807,task_BatteryTask
0xfc12ec71,GetVBatVoltage_FW
0xfc12ec71,VbattGet
0xfc12ec71,VbattGet_FW
0xfc12f3b1,task_WBCtrl
0xfc1311bd,task_AFTask
0xfc131d17,GetMacroSupportZoomPoint_FW
0xfc132c69,imager_active_callback
0xfc132cfd,ImagerActivate
0xfc1345ed,LiveImageTool.GetDzoomPosition_FW
0xfc134981,GetVRAMHPixelsSize
0xfc134981,GetVRAMHPixelsSize_FW
0xfc134989,GetVRAMVPixelsSize
0xfc134989,GetVRAMVPixelsSize_FW
0xfc134991,GetMovieJpegVRAMHPixelsSize_FW
0xfc134999,GetMovieJpegVRAMVPixelsSize_FW
0xfc135671,UIFS_StartMovieRecord_FW
0xfc135687,UIFS_StopMovieRecord_FW
0xfc135ac1,is_movie_recording
0xfc135f2b,get_displaytype
0xfc0d2985,TurnOnBackLight,(stubs_entry_2.s)
0xfc0d2997,TurnOffBackLight,(stubs_entry_2.s)
0xfc13691d,DispCon_ShowColorBar_FW
0xfc13697b,DispCon_ShowFiveStep_FW
0xfc136a37,DispCon_ShowWhiteChart_FW
0xfc136a71,DispCon_ShowBlackChart_FW
0xfc136a81,DispCon_ShowBitmapColorBar_FW
0xfc136abb,DispCon_ShowCustomColorBar_FW
0xfc136b23,DispCon_SetDisplayType_FW
0xfc136b37,DispCon_ShowColorChart_FW
0xfc136b49,DispCon_ShowWhiteLine_FW
0xfc136ca7,DispCon_ShowNStepsChart_FW
0xfc136d45,DispCon_TurnOnDisplay_FW
0xfc136d4f,DispCon_TurnOffDisplay_FW
0xfc136d59,DispCon_TurnOnBackLight_FW
0xfc136d63,DispCon_TurnOffBackLight_FW
0xfc136d6d,DispCon_SetMaxBackLightBrightness_FW
0xfc136dcb,DispCon_SaveNTSCAdjParameter_FW
0xfc136dd5,DispCon_GetNTSCAdjParameter_FW
0xfc136dfd,DispCon_ShowNTSCAdjParameter_FW
0xfc136e09,DispCon_SetNTSCAdjParameter_FW
0xfc136e3b,DispCon_SavePALAdjParameter_FW
0xfc136e45,DispCon_GetPALAdjParameter_FW
0xfc136e6f,DispCon_ShowPALAdjParameter_FW
0xfc136e7b,DispCon_SetPALAdjParameter_FW
0xfc136eef,DispCon_SetLcdGainAdjParameter_FW
