0xffd4d89c,SetMontblancVSize_FW
0xffd4d8b4,GetMontblancVSize_FW
0xffd51268,EnableOBClampField_FW
0xffd51280,DisableOBClampField_FW
0xffd53970,VirtualImageTimeOut_FW
0xffd8a5fc,PTPRspnd.ShowRemoteStg_FW
0xffdb9520,DispCon_ShowBitmapColorBar
0xffdbdc08,SetSDPwrPort_FW
0xffdbeb0c,GetAdChValue_FW
0xffdbeb3c,GetAdVBattBottom_FW
0xffdc0288,SetBattCheckMode_FW
0xffdc0310,ShowBattCheckMode_FW
0xffdc0404,ShowBattChkAdj_FW
0xffdc05e0,GetLBOffset_FW
0xffdc05f0,LowBat_Result_Print_On_FW
0xffdc0608,LowBat_Result_Print_Off_FW
0xffdc061c,BatVoltageToAd_FW
0xffdc17b8,VbattGet
0xffdc17b8,VbattGet_FW
0xffdc3bdc,kbd_p1_f
0xffdc3be8,kbd_p1_f_cont
0xffdc3ca8,kbd_read_keys
0xffdc4658,GetSDProtect
0xffdc7d6c,GetOpticalTemperature
0xffdc7d80,GetCCDTemperature
0xffdc7d94,GetBatteryTemperature
0xffdcd654,EngDrvOut
0xffdcd66c,EngDrvIn
0xffdcd674,EngDrvRead
0xffdcd688,EngDrvBits
0xffdd89b4,EngineDriver.Delete_FW
0xffdd8a18,InitializeAdjustmentSystem_FW
0xffdd8a60,TerminateAdjustmentSystem_FW
0xffdd8aa8,InitializeAdjustmentFunction_FW
0xffddc178,GetCurrentAvValue
0xffdde4f0,GetCurrentTargetDistance
0xffdde788,MoveFocusLensToDistance
0xffde17bc,SetAE_ShutterSpeed
0xffde29d4,GetVRAMHPixelsSize
0xffde29e0,GetVRAMVPixelsSize
0xffde41d8,SavePaletteData
0xffde986c,FA.Delete_FW
0xffe18d14,RenameFile_Fut
0xffe18dbc,DeleteFile_Fut
0xffe18e70,MakeDirectory_Fut
0xffe18ef0,Fopen_Fut
0xffe18ef0,Fopen_Fut_FW
0xffe18f30,Fclose_Fut
0xffe18f30,Fclose_Fut_FW
0xffe18fec,Fread_Fut
0xffe18fec,Fread_Fut_FW
0xffe19040,Fwrite_Fut
0xffe19040,Fwrite_Fut_FW
0xffe19094,Fgets_Fut
0xffe190e0,Fseek_Fut
0xffe190e0,Fseek_Fut_FW
0xffe1912c,Feof_Fut
0xffe19168,Fflush_Fut
0xffe1cbb0,Unmount_FileSystem
0xffe1cd04,UpdateMBROnFlash
0xffe1cfd0,GetDrive_ClusterSize
0xffe1d00c,GetDrive_TotalClusters
0xffe1d048,GetDrive_FreeClusters
0xffe1d7bc,Open
0xffe1d7bc,Open_FW
0xffe1d7e4,Close
0xffe1d7e4,Close_FW
0xffe1d804,Remove
0xffe1d878,Read
0xffe1d878,Read_FW
0xffe1d884,Write
0xffe1d884,write
0xffe1d884,Write_FW
0xffe1d8cc,Lseek
0xffe1d8cc,Lseek_FW
0xffe4443c,ResetFocusLens
0xffe49cc4,MoveIrisWithAv
0xffe54e14,ResetZoomLens
0xffe54f2c,MoveZoomLensWithPoint
0xffe55054,GetZoomLensCurrentPoint
0xffe55068,GetZoomLensCurrentPosition
0xffe6aedc,DoAFLock
0xffe6af5c,UnlockAF
0xffe6b194,ExitFromCompensationEVF
0xffe75824,NR_SetDarkSubType
0xffe758b4,NR_GetDarkSubType
0xffe759cc,RegisterNRTableEvent_FW
0xffe7a5e0,PT_EraseAllFile_FW
0xffe7a618,PT_mod_FW
0xffe7a638,PT_atoi_FW
0xffe7a644,PT_GetSystemTime
0xffe7a644,PT_GetSystemTime_FW
0xffe7a664,PT_SetPropertyCaseString_FW
0xffe7a678,PT_SetPropertyCaseInt_FW
0xffe7a6a0,PT_GetPropertyCaseString_FW
0xffe7a6b4,PT_GetPropertyCaseInt_FW
0xffe7a760,PT_GetLocalTimeString_FW
