0x011031c8,_log
0xfc3a3adf,ChangeImagerToMontblancWhole_FW
0xfc3a3ad3,ChangeImagerToOITA_XAVIER_FW
0xfc3a3aa7,ChangeImagerToRegularDrive_FW
0xfc3a3afb,ChangeImagerToRoadKing_FW
0xfc3a3b27,ChangeImagerToRoadKingNepal_FW
0xfc3a3b1f,ChangeImagerToRoadQueen_FW
0xfc3a3b07,ChangeImagerToSpriteSunshine_FW
0xfc3a3ac7,ChangeImagerToSuperWideDraft_FW
0xfc3a3b2b,ChangeImagerToSuperWideNepal_FW
0xfc3a3adb,ChangeImagerToUltraGhostQ_FW
0xfc3a3b17,ChangeImagerToVeryFastMangoPudding_FW
0xfc3a3b13,ChangeImagerToVeryFastWideDraft_FW
0xfc3a3aab,ChangeImagerToWholeParallel_FW
0xfc3a3aaf,ChangeImagerToWholeParallelBP_FW
0xfc3a3abb,ChangeImagerToWideDraft_FW
0xfc3a3ab3,ChangeImagerToWideDraftFinancier_FW
0xfc5407a3,ChangeIrisSpeed_FW
0xfc541a11,ChangeParallelMode_FW
0xfc393e57,ChangePermission_FW
0xfc0d67ad,ChangePowerState_FW
0x010e289f,ChangeSDPortVoltage_FW
0xfc56acad,ChangeToISCloseControl_FW
0xfc541017,ChangeZoomLensMagnificationToPoint_FW
0xfc54100f,ChangeZoomLensPointToMagnification_FW
0xfc54c1c7,ChargeStrobe_FW
0xfc54c1e9,ChargeStrobeForFA_FW
0xbfe14d17,CheckAllEventFlag
0xbfe14ce1,CheckAnyEventFlag
0xfc4b9c9d,CheckAvs_FW
0xfc4a3343,CheckSumAll_FW
0xfc3ba789,clear_param_FW
0xfc02103f,ClearDefectTurnTable_FW
0xfc078a73,ClearDUIDFixFlag_FW
0xfc078a23,ClearDurianMode_FW
0xbfe14e7d,ClearEventFlag
0xfc078b2d,ClearFactoryMasterFlag_FW
0xfc078b39,ClearFactoryMasterROMProtection_FW
0xfc078a23,ClearFactoryMode_FW
0xfc120539,ClearImageDrive_FW
0xfc56af01,ClearISCalcZData_FW
0xfc541a63,ClearISIComponent_FW
0xfc541a7b,ClearISZData_FW
0xfc4a5e83,ClearNFCSystemArea_FW
0xfc0c9339,ClearPMByFs_FW
0xfc0c932b,ClearPMByGpio_FW
0xfc4ba0f1,ClearSoundDevForRecEvent_FW
0xfc078529,ClearWLANFactoryMode_FW
0xfc53eff7,ClearZoomCommonDriveParam_FW
0xfc53ea4d,ClearZoomDriveParam_FW
0xfc3171fd,Close
0xfc38d6df,close
0xfc3171fd,Close_FW
0xfc17a1d5,CloseConsole_FW
0xfc3f8379,closedir
0xfc540cc1,CloseMechaShutter_FW
0xfc540cfd,CloseMechaShutterWithTiming_FW
0xfc54c2ab,CloseMShutter_FW
0xfc394221,ComDiscovery_FW
0xfc3b9369,connect_FW
0xfc3bb603,ConnectPtpIPService_FW
0xfc53e581,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xfc53e557,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xfc5664e5,ConvertApexStdToApex_FW
0xfc5664cb,ConvertApexToApexStd_FW
0xfc566861,ConvertCxCyToWBGain_FW
0xfc54d89b,ConvertToPositionWithDistance_FW
0xfc54d887,ConvertToPositionWithDistanceAndZoomPoint_FW
0xfc54c009,ConvertTvToExposureTime_FW
0xfc565d01,CorrectMvFrMem2MemAfterDefMark_FW
0xfc17a061,CPrintf_FW
0xfc17a099,CPutChar_FW
0xfc07f087,CreateAdjustmentTableMirror_FW
0xbfe152ed,CreateBinarySemaphore
0xbfe1553f,CreateBinarySemaphoreStrictly
0xfc2d2837,CreateController_FW
0xbfe15339,CreateCountingSemaphore_FW
0xbfe15559,CreateCountingSemaphoreStrictly
0xfc07f08f,CreateDefectTableMirror_FW
0xbfe14c6d,CreateEventFlag
0xbfe15525,CreateEventFlagStrictly
0xfc32889b,CreateFADBGSingalID_FW
0xfc54c3fd,CreateJumptable
0xbfe15035,CreateMessageQueue
0xbfe1550b,CreateMessageQueueStrictly
0xfc326401,CreateProxyOfEventProcedure_FW
0xbfe158a9,CreateRecursiveLock
0xbfe15573,CreateRecursiveLockStrictly
0xbfe11fc5,createsemaphore_low
0xbfe14a3d,CreateTask
0xbfe14a3d,CreateTask_FW
0xbfe154e9,CreateTaskStrictly
0xfc07f92d,CreateUserSettingMirror_FW
0xfc02097f,CrossDefDetect_FW
0xfc2d299f,CtrlMan_ChangeZOrder_FW
0xfc2a337d,CzDebugPrint_FW
0xfc2a3389,CzDebugPrintToFile_FW
0xfc5414d9,DcmTfMeasure_FW
0xfc541555,DcmTfMeasureForSD_FW
0xfc541299,DcmWowFla_FW
0xfc541317,DcmWowFlaForSD_FW
0x010e1001,DebugAssert
0x010e1017,DebugAssert2
0xfc2d28a9,DeleteController_FW
0xfc326965,DeleteDirectory_Fut
0xbfe14ca5,DeleteEventFlag
0xfc32691b,DeleteFile_Fut
0xbfe15099,DeleteMessageQueue
0xfc326439,DeleteProxyOfEventProcedure_FW
0xbfe15371,DeleteSemaphore
0xbfe15371,DeleteSemaphore_FW
0xfc5688fb,DevelopStillPicture_FW
0xfc53cefd,DevelopTool.DevelopTest_FW
0xfc0c099f,DeviceUniqueIDCheckSum_FW
0xfc393711,dhcpAddressing_FW
0xfc298ca9,DisableDebugLogMode_FW
0xfc541e87,DisableDISModeChange_FW
0xfc5400b5,DisableFocusLens_FW
0xfc540165,DisableFocusLensGainLock_FW
0xfc540177,DisableFocusLensSlopeGain_FW
0xfc54018d,DisableFocusLensWaveLock_FW
0xfc540a73,DisableFocusPiCircuit_FW
0xfc0d6833,DisableHDMIPower
0xfc565cf7,DisableHeadDirectCapturePath_FW
0xfc540741,DisableIris_FW
0xfc0f6f45,DisableIrisActuator_FW
0xfc541b07,DisableISAutoGyroOffset_FW
0xfc541af3,DisableISDriveError
0xfc541af3,DisableISDriveError_FW
0xfc5408c1,DisableLensError_FW
0xfc541eef,DisableMacroIS_FW
0xfc540a5f,DisableMechaCircuit_FW
0xfc540b09,DisableResetGpio_FW
0xfc2a5605,DisableZoomActuatorSpeedLog_FW
0xfc540aa3,DisableZoomEncoderCircuit_FW
0xfc540ff3,DisableZoomLensElectricControl_FW
0xfc540dbf,DisableZoomLensEncoderPowerControl_FW
0xfc540fdb,DisableZoomLensSpeedControl_FW
0xfc540a8b,DisableZoomPiCircuit_FW
0xfc3b9415,disconnect_FW
0xfc3bb609,DisconnectPtpIPService_FW
0xfc3258d5,DispCon_GetLcdGainAdjParameter_FW
0xfc32577d,DispCon_GetNTSCAdjParameter_FW
0xfc3257ed,DispCon_GetPALAdjParameter_FW
0xfc325909,DispCon_SaveLcdGainAdjParameter_FW
0xfc325773,DispCon_SaveNTSCAdjParameter_FW
0xfc3257e3,DispCon_SavePALAdjParameter_FW
0xfc325419,DispCon_SetDisplayType_FW
0xfc325897,DispCon_SetLcdGainAdjParameter_FW
0xfc3256a5,DispCon_SetMaxBackLightBrightness_FW
0xfc3257b1,DispCon_SetNTSCAdjParameter_FW
0xfc325823,DispCon_SetPALAdjParameter_FW
0xfc32591d,DispCon_SetSSCGParameter_FW
0xfc325375,DispCon_ShowBitmapColorBar_FW
0xfc325365,DispCon_ShowBlackChart_FW
0xfc3251e7,DispCon_ShowColorBar_FW
0xfc32542d,DispCon_ShowColorChart_FW
0xfc3253af,DispCon_ShowCustomColorBar_FW
0xfc325245,DispCon_ShowFiveStep_FW
0xfc325983,DispCon_ShowHdChart_FW
0xfc3258ff,DispCon_ShowLcdGainAdjParameter_FW
0xfc325573,DispCon_ShowNStepsChart_FW
0xfc3257a5,DispCon_ShowNTSCAdjParameter_FW
0xfc325817,DispCon_ShowPALAdjParameter_FW
0xfc32532b,DispCon_ShowWhiteChart_FW
0xfc32543f,DispCon_ShowWhiteLine_FW
0xfc32569b,DispCon_TurnOffBackLight_FW
0xfc3256df,DispCon_TurnOffBackLightForCheckVoltage_FW
0xfc325687,DispCon_TurnOffDisplay_FW
0xfc325691,DispCon_TurnOnBackLight_FW
0xfc3256b1,DispCon_TurnOnBackLightForCheckVoltage_FW
0xfc32567d,DispCon_TurnOnDisplay_FW
0xfc4acc81,DispDev.Create_FW
0xfc4abbad,DispDev_EnableEventProc
0xfc4abbad,DispDev_EnableEventProc_FW
0xfc07824f,DisplayFactoryMode_FW
0xfc2c98c7,DispSwCon_TurnOffDisplayDevice_FW
0xfc2682d9,DoAELock
0xfc267f5f,DoAFLock
0xfc565ce7,DoMemToMemDarkSubtraction_FW
0xfc4abcc1,Driver.Create_FW
0xfc4abcc1,Driver_EnableEventProc_FW
0x01100a60,dry_memcpy
0xfc08b8f5,drysh_FW
0xfc07858d,DummyUSBConnection_FW
0xfc4ac135,Dump32_FW
0xfc4ac12b,Dump_FW
0xfc07eb69,DumpAdjMirror_FW
0xfc02127d,DumpTransparentMemoryItem_FW
0xfc1469f9,E2LatOn_FW
0xfc4a650d,Edet.Create_FW
0xfc4a64fd,Edet.Delete_FW
0xfc53d3d9,EdidDump_FW
0xfc53d3d7,EdidView_FW
0xfc3e472f,EF.AdjPreFlash_FW
0xfc3e471b,EF.FlashForColorTempEvaluation_FW
0xfc3e4703,EF.FlashWithoutSync_FW
0xfc35a0c5,EF.GetAdjustPreSvOffset_FW
0xfc3e4669,EF.GetEFModAddPixelGain_FW
0xfc35a0c9,EF.GetEFModExamDriveType_FW
0xfc3e4661,EF.GetEFY2_FW
0xfc3e45f3,EF.GetEFY_FW
0xfc0e7e8d,EF.IsChargeFull_FW
0xfc35a0d5,EF.IsIrisTypeKosaiShibori_FW
0xfc3e4765,EF.SetChargeMode_FW
0xfc3e45e5,EF.SetChargeOnTime_FW
0xfc3e45d7,EF.SetEFChargeTimeOut_FW
0xfc3e471f,EF.SetMainFlashTime_FW
0xfc3e4595,EF.StartEFCharge_FW
0xfc3e46ad,EF.StartInternalMainFlash_FW
0xfc3e467f,EF.StartInternalPreFlash_FW
0xfc3e45cd,EF.StopEFCharge_FW
0xfc53a82b,EFUSE_ReadData_FW
0xfc298c9f,EnableDebugLogMode_FW
0xfc541e91,EnableDISModeChange_FW
0xfc540083,EnableFocusLens_FW
0xfc5400eb,EnableFocusLensGainLockWithVoltage_FW
0xfc54016d,EnableFocusLensSlopeGain_FW
0xfc54017f,EnableFocusLensWaveLock_FW
0xfc540a69,EnableFocusPiCircuit_FW
0xfc0d67fd,EnableHDMIPower
0xfc565cf5,EnableHeadDirectCapturePath_FW
0xfc540727,EnableIris_FW
0xfc0f6f2b,EnableIrisActuator_FW
0xfc541afd,EnableISAutoGyroOffset_FW
0xfc541ae9,EnableISDriveError_FW
0xfc5408b7,EnableLensError_FW
0xfc541ee5,EnableMacroIS_FW
0xfc540a55,EnableMechaCircuit_FW
0xfc540af9,EnableResetGpio_FW
0xfc2a55fb,EnableZoomActuatorSpeedLog_FW
0xfc540a99,EnableZoomEncoderCircuit_FW
0xfc540fe7,EnableZoomLensElectricControl_FW
0xfc540db5,EnableZoomLensEncoderPowerControl_FW
0xfc540fcf,EnableZoomLensSpeedControl_FW
0xfc540a81,EnableZoomPiCircuit_FW
0xfc4a6587,EngApp.Create_FW
0xfc4ad109,EngApp.CreatePub_FW
0xfc4a6549,EngApp.Delete_FW
0xfc0210e9,EngDrvBits_FW
0xfc0210dd,EngDrvIn_FW
0xfc0210cd,EngDrvOut_FW
0xfc328fa5,EngDrvRead
0xfc0210e3,EngDrvRead_FW
0xfc0210fb,EngDrvReadDump_FW
0xfc4ad0cd,EngineDriver.Create_FW
0xfc30c63d,EpilogFile_FW
0xfc30c683,EpilogMenu_FW
0xfc30c511,EpilogShow_FW
0xfc07eb47,EraseAdjustmentArea_FW
0xfc0ac1b9,EraseLogSector_FW
0xfc0d6b4f,EraseRom_FW
0xfc4abcb5,EraseSignature_FW
0xfc393eb3,ErrorTest_Disconnect_FW
0xfc393e69,ErrorTest_Succession_FW
0xfc53f577,EscapeFocusLens_FW
0xfc54294d,exec_FW
0xfc4b9c91,ExecuteAvs_FW
0xfc05cfb1,Executedccd_FW
0xfc020eeb,ExecuteDefectRec_FW
0xfc020f17,ExecuteDefectRecAndSaveImage_FW
0xfc020fa3,ExecuteDefectRecAndSaveImageWithGrade_FW
0xfc020f71,ExecuteDefectRecWithGrade_FW
0xfc05c8bd,ExecuteDigicon_FW
0xfc325ea1,ExecuteEventProcedure
0xfc325ee5,ExecuteEventProcedure_FW
0xfc54c22b,ExecuteInternalPreFlash_FW
0xfc1625f7,ExecuteResetFactory_FW
0xfc1625e5,ExecuteResetFactoryWithRomWrite_FW
0xfc1262e5,ExecuteShutDownPropertyService_FW
0xfc05d11b,ExecuteSubCameraTestRec_FW
0xfc05d10f,ExecuteTestRec_FW
0xfc05d11f,ExecuteTestRecCF_FW
0xfc05d1df,ExecuteTestRecDevelopProcess_FW
0xfc05d11f,ExecuteTestRecSD_FW
0xfc05d167,ExecuteTestRecSw1_FW
0xfc05d159,ExecuteTestRecWithInteg_FW
0xbfe14c1f,ExitTask
0xbfe14c1f,ExitTask_FW
0xfc08ec63,ExMem.AllocCacheable_FW
0xfc08eb63,ExMem.AllocUncacheable_FW
0xfc08ecb9,ExMem.FreeCacheable_FW
0xfc08ec1f,ExMem.FreeUncacheable_FW
0xfc08e6cd,ExMem.View_FW
0xfc08ec2b,exmem_alloc
0xfc08ec6b,exmem_free
0xfc084a67,ExMem_FW
0xfc3a2017,ExpCtrlTool.SetExpMode_FW
0xfc3a2049,ExpCtrlTool.SoundDevTest_FW
0xfc3263fb,ExportToEventProcedure_FW
0xfc4acc67,FA.Create_FW
0xfc4acc5b,FA.Delete_FW
0xfc56858d,FactoryPowerOffWithTimer_FW
0xfc328911,FADBGPrintf_FW
0xfc3288a3,FADBGSingal_FW
0xfc3289cb,FAPrintf_FW
0xfc3269c7,Fclose_Fut
0xfc3269c7,Fclose_Fut_FW
0xfc326aa5,Fgets_Fut
0xfc4aac95,File.ClearExifInfo_FW
0xfc4aadab,File.Create_FW
0xfc4aad67,File.Delete_AllImg_FW
0xfc566bf3,FixAEWithCompensation_FW
0xfc5419f9,FixISStatus_FW
0xfc1840bf,FmtMenu_ExecuteQuickFormat_FW
0xfc566b7f,FocusAEWithCompensation_FW
0xfc540305,FocusLensStopQuickly_FW
0xfc32699f,Fopen_Fut
0xfc32699f,Fopen_Fut_FW
0xfc394a5d,fprintSNR_FW
0xfc394b31,fprintWPSEThroughput_FW
0xfc326a39,Fread_Fut
0xfc326a39,Fread_Fut_FW
0xfc328e47,free
0xfc542919,FreeMemory_FW
0xfc12fe1d,FreeUncacheableMemory
0xfc326ad7,Fseek_Fut
0xfc326ad7,Fseek_Fut_FW
0xfc326a6f,Fwrite_Fut
0xfc326a6f,Fwrite_Fut_FW
0xfc077e1d,get_canon_mode_list
0xfc3160eb,get_current_exp
0xfc316809,get_fstype
0xfc29dc7b,get_playrec_mode
0xfc122bcf,GetAdChValue
0xfc122bcf,GetAdChValue_FW
0xfc56957d,GetAdjAFInteg_FW
0xfc07f8e9,GetAdjDataAreaAddress_FW
0xfc07f8ed,GetAdjDurianFlagSize_FW
0xfc07eba1,GetAdjTableMapVersion_FW
0xfc07ebab,GetAdjTableValueVersion_FW
0xfc07eb7f,GetAdjTableVersion_FW
0xfc07f8d3,GetAdjustmentOffset_FW
0xfc122bc9,GetAdVBattBottom_FW
0xfc3c3eb5,GetAEIntegralServiceMode_FW
0xfc3c3b79,GetAEIntegralValueWithFix_FW
0xfc3c3eaf,GetAEIntegValueBit_FW
0xfc3c3ad7,GetAEIntegWinData_FW
0xfc3c3ae1,GetAEIntegWinDataWithMode_FW
0xfc3c3c21,GetAllAEIntegralAllValueWithFix_FW
0xfc0cf2a3,GetBatteryCoverClose_FW
0xfc396bfd,GetBatteryTemperature
0xfc396bfd,GetBatteryTemperature_FW
0xfc4ba3d5,GetBatteryVoltage_FW
0xfc4a327d,GetBuildDate_FW
0xfc4a3289,GetBuildTime_FW
0xfc4b9f1d,GetCameraInformationData_FW
0xfc396ba1,GetCCDTemperature
0xfc396ba1,GetCCDTemperature_FW
0xfc54d667,GetCdsGainValue_FW
0xfc54d6fb,GetCdsPreGainReg_FW
0xfc17a0af,GetCh_FW
0xfc4a341b,GetChipVersion_FW
0xfc3942b9,getCigUrl_FW
0xfc567d0b,GetContinuousMovieJpegVRAMData_FW
0xfc567751,GetContinuousVRAMData_FW
0xfc567c57,GetContinuousVRAMDataWithRingBuffer_FW
0xfc3bb109,getCountry_FW
0xfc3c41c7,GetCrawDataAddr_FW
0xfc565c0d,GetCrwImageInfo_FW
0xfc565cdf,GetCrwInfoData_FW
0xfc3936e9,getCurCH_FW
0xfc53e531,GetCurrentAdjImgDriveType_FW
0xfc53a7db,GetCurrentAvCoefficient_FW
0xfc0d8029,GetCurrentAvValue
0xfc0d8029,GetCurrentAvValue_FW
0xfc2fb73b,GetCurrentCaptureModeType_FW
0xfc4b9edf,GetCurrentCcdTemp_FW
0xfc54d70d,GetCurrentDriveBaseSvValue_FW
0xfc3a0d67,GetCurrentExposureTime_FW
0xfc327eff,GetCurrentFocusLensPosition_FW
0xfc327eff,GetCurrentFocusPosition_FW
0xfc53e53d,GetCurrentImgDrvMode_FW
0xfc0d8197,GetCurrentIrisPosition_FW
0xfc328ce1,GetCurrentMaximumLogSize_FW
0xfc4b9ef7,GetCurrentOptTemp_FW
0xfc3a0abb,GetCurrentShutterSpeed
0xfc3a0abb,GetCurrentShutterSpeed_FW
0xfc327eaf,GetCurrentTargetDistance_FW
0xfc53e8b5,GetCurrentZoomLensDirection_FW
0xfc0d86d1,GetCurrentZoomLensPoint_FW
0xfc0d8665,GetCurrentZoomLensPosition_FW
0xfc0d86d1,GetCurrentZoomPoint_FW
0xfc0d8665,GetCurrentZoomPosition_FW
0xfc39430b,getCWSStatus_FW
0xfc53f491,GetCZFramingAssistAutoHighSpeed_FW
0xfc53f495,GetCZFramingAssistAutoLowSpeed_FW
0xfc53f48d,GetCZFramingAssistStillSpeed_FW
0xfc53f483,GetCZMovieDefaultSpeed_FW
0xfc53f477,GetCZMovieHighSpeed_FW
0xfc53f47b,GetCZMovieLowSpeed_FW
0xfc53f47f,GetCZStillDefaultSpeed_FW
0xfc53f46f,GetCZStillHighSpeed_FW
0xfc53f473,GetCZStillLowSpeed_FW
0xfc3a25c1,GetDarkFixedFocusPosition_FW
0xfc4ac0ad,GetDateAndTime_FW
0xfc5681cb,GetDay_FW
0xfc05d06f,GetdccdFilterValue_FW
0xfc05d00d,GetdccdImage_FW
0xfc0c91d5,GetDcmSpeedLog_FW
0xfc07f527,GetDCPAdjOffset_FW
0xfc394bbd,GetDefaultNickName_FW
0xfc020bd9,GetDefectAllResultData_FW
0xfc020b87,GetDefectCrawInfo_FW
0xfc020c8f,GetDefectHistgramInfo_FW
0xfc020c09,GetDefectPartResultData_FW
0xfc020d1d,GetDefectRecParamForCorrelationTest_FW
0xfc021049,GetDefectTurnTableParam_FW
0xfc020cb3,GetDefectTvAdj_FW
0xfc0cf29b,GetDialEventId_FW
0xfc237f85,GetDISModeParameter_FW
0xfc541e73,GetDISModeParamType_FW
0xfc5420ff,GetDisSupportStatus_FW
0xfc54266b,GetDramDensity_FW
0xfc542653,GetDramManufactureId_FW
0xfc54265b,GetDramRevision_FW
0xfc542663,GetDramRfu_FW
0xfc542673,GetDramTypeError_FW
0xfc31686f,GetDrive_ClusterSize
0xfc316d73,GetDrive_FreeClusters
0xfc163489,GetDriverInfoEvent_FW
0xfc3bb169,getEepromNum_FW
0xfc568541,GetEFUSEData_FW
0xfc4b9d07,GetEFuseData_FW
0xbfe14ead,GetEventFlagValue
0xfc54c17f,GetExStrobeID_FW
0xfc217ebf,GetFaceAuthBinAddr_FW
0xfc217ec3,GetFaceAuthBinSize_FW
0xfc4a3295,GetFirmwareVersion_FW
0xfc238093,GetFixedPWMOutA_FW
0xfc238099,GetFixedPWMOutB_FW
0xfc328305,GetFocusDefaultResetPosition_FW
0xfc32822b,GetFocusLensAvCoefficient_FW
0xfc540355,GetFocusLensCarrierFrequency_FW
0xfc4ba52f,GetFocusLensCurrentPosition_FW
0xfc4ba533,GetFocusLensCurrentPositionWithMotor_FW
0xfc4ba537,GetFocusLensDriveVoltage_FW
0xfc2df9c9,GetFocusLensFinalStopSettingTime_FW
0xfc4ba5ed,GetFocusLensGainSlope_FW
0xfc4ba5bd,GetFocusLensHoldVoltage_FW
0xfc53f529,GetFocusLensIrisCoefficient_FW
0xfc5401db,GetFocusLensLoadCamTable_FW
0xfc5401bf,GetFocusLensLoadSubjectDistance_FW
0xfc5402a1,GetFocusLensMoveMaxPosition_FW
0xfc5402b1,GetFocusLensMoveMinPosition_FW
0xfc5402c5,GetFocusLensMoveRangeOfTelePoint_FW
0xfc5401bb,GetFocusLensPositionRatio_FW
0xfc327b5f,GetFocusLensPullInMaxSpeed_FW
0xfc2dfeab,GetFocusLensResetDefaultPosition_FW
0xfc2dfe9f,GetFocusLensResetPosition_FW
0xfc43adb1,GetFocusLensResetVoltage_FW
0xfc4ba58d,GetFocusLensSettingWaitVoltage_FW
0xfc327eaf,GetFocusLensSubjectDistance
0xfc5401a5,GetFocusLensSubjectDistance_FW
0xfc5401b7,GetFocusLensSubjectDistanceNumber_FW
0xfc0f745d,GetFocusPiSensorLevel_FW
0xfc3282ab,GetFocusResetPosition_FW
0xfc0a6bad,GetFocusStartZoomPosition_FW
0xfc54c0fd,GetFrameRateWithApex_FW
0xfc237d3f,GetGyro10BitDACPitch_FW
0xfc173e71,GetGyro10BitDACRoll_FW
0xfc237d47,GetGyro10BitDACYaw_FW
0xfc237ce7,GetGyroDataPitch_FW
0xfc173df7,GetGyroDataRoll_FW
0xfc237cff,GetGyroDataYaw_FW
0xfc541953,GetGyroFilterCharge_FW
0xfc56add9,GetGyroFilterChargeStatus_FW
0xfc237d4f,GetGyroHPFINOffsetPitch_FW
0xfc173e91,GetGyroHPFINOffsetRoll_FW
0xfc237d57,GetGyroHPFINOffsetYaw_FW
0xfc237d5f,GetGyroHPFINPitch_FW
0xfc173e9f,GetGyroHPFINRoll_FW
