CAMERA,FIRMWARE,STATUS,SOURCE_FW,SOURCE_CAM,AUTOBUILD,PLATFORMID,OS,OSVER,DIGIC,ROMBASEADDR,MEMBASEADDR,MAXRAMADDR,KEYSYS,FI2FLAGS,DANCING_BITS,THUMB_FW,ARAM_MALLOC,ARAM_HEAP_START,ARAM_HEAP_SIZE,CHDK_IN_ARAM,EXMEM_MALLOC,EXMEM_HEAP_SKIP,EXMEM_BUFFER_SIZE,CHDK_IN_EXMEM
ixus970_sd890,100b,,,,,12659,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus970_sd890,100c,,,,,12659,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus970_sd890,100d,,100c,,,12659,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus970_sd890,100f,,,,,12659,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus90_sd790,100c,,,,,12660,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus90_sd790,100d,,,,,12660,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus90_sd790,100e,,100d,,,12660,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus85_sd770,100a,,,,,12661,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus85_sd770,100b,,100a,,,12661,dryos,23,30,0xFF810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
a590,100e,,,,,12662,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3enc,,1,,,,,,,,,
a590,101b,,,,,12662,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF ,d3enc,,1,,,,,,,0x0 ,0x400000 ,
a580,100c,,,,,12663,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF ,d3enc,,1,,1,0x2ce000,0x32000,1,,0x0 ,0x400000 ,
a580,101b,,,,,12663,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF ,d3enc,,1,,1,0x2ce000,0x32000,1,,0x0 ,0x400000 ,
a470,100e,,,,,12666,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
a470,101a,,101b,,,12666,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
a470,101b,,,,,12666,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
a470,102c,,,,,12666,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus80_sd1100,100c,,,,,12676,dryos,23,30,0xff810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus80_sd1100,101a,,,,,12676,dryos,23,30,0xff810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
ixus80_sd1100,101b,,101a,,,12676,dryos,23,30,0xff810000,0x1900,0x1FFFFFF,d3enc,,1,,1,0x2ce000,0x32000,1,,,,
a1000,100a,,,,,12686,dryos,31,30,0xffc00000,0x1900,0x1FFFFFF,d4,,1,,1,0x2ce000,0x32000,1,,,,
a1000,100b,,,,,12686,dryos,31,30,0xffc00000,0x1900,0x1FFFFFF,d4,,1,,1,0x2ce000,0x32000,1,,,,
a2000,100a,,100c,,,12689,dryos,31,30,0xffc00000,0x1900,0x1FFFFFF,d4,,1,,1,0x2ce000,0x32000,1,,,,
a2000,100b,,100c,,,12689,dryos,31,30,0xffc00000,0x1900,0x1FFFFFF,d4,,1,,1,0x2ce000,0x32000,1,,,,
a2000,100c,,,,,12689,dryos,31,30,0xffc00000,0x1900,0x1FFFFFF,d4,,1,,1,0x2ce000,0x32000,1,,,,
sx110is,100b,,,,,12690,dryos,31,30,0xffc00000 ,0x1900,0x1FFFFFF,d4,,1,,1,0x2ce000,0x32000,1,,,,
a480,100b,,,,,12735,dryos,31,30,0xFFC00000,0x1900,0x1FFFFFF,d4,,2 ,,1,0x2ce000,0x32000,1,,,,
a495,100d,,,,,12783,dryos,43,30,0xFFC00000,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a495,100e,,,,,12783,dryos,43,30,0xFFC00000,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a495,100f,,,,,12783,dryos,43,30,0xFFC00000,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a490,100d,,,,,12784,dryos,43,30,0xFFC00000,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a490,100e,,,,,12784,dryos,43,30,0xFFC00000,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a490,100f,,,,,12784,dryos,43,30,0xFFC00000,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a3100,100a,,,,,12785,dryos,43,30,0xff810000 ,0x1900,0x1FFFFFF,d4a,,4,,1,0x34e000,0x32000,1,,,,
a3100,100b,,,,,12785,dryos,43,30,0xff810000 ,0x1900,0x1FFFFFF,d4a,,4,,1,0x34e000,0x32000,1,,,,
a3100,100d,,,,,12785,dryos,43,30,0xff810000 ,0x1900,0x1FFFFFF,d4a,,4,,1,0x34e000,0x32000,1,,,,
a3000,100b,,,,,12786,dryos,43,30,0xffc00000 ,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a3000,100c,,,,,12786,dryos,43,30,0xffc00000 ,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a3000,100d,,,,,12786,dryos,43,30,0xffc00000 ,0x1900,0x1FFFFFF,d4a,,4,,1,0x2ce000,0x32000,1,,,,
a800,100b,,,,,12838,dryos,47,30,0xFFC00000,0x1900,0x01ffffff,d4c,,6,,1,0x2ce000,0x32000,1,,0,0xA0000 ,
a800,100c,,,,,12838,dryos,47,30,0xFFC00000,0x1900,0x01ffffff,d4c,,6,,1,0x2ce000,0x32000,1,,0,0xA0000 ,
sx10,100c,,,,,12685,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
sx10,101a,,,,,12685,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
sx10,101b,,,,,12685,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
sx10,102b,,,,,12685,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
sx10,103a,,,,,12685,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
g10,102a,,,,,12687,dryos,31,40,0xFF810000,0x1900,0x07FFFFFF,d4,,1,,,,,,,0x2F7600 ,0x400000 ,
g10,103b,,,,,12687,dryos,31,40,0xFF810000,0x1900,0x07FFFFFF,d4,,1,,,,,,,0x2F7600 ,0x400000 ,
g10,104a,,,,,12687,dryos,31,40,0xFF810000,0x1900,0x07FFFFFF,d4,,1,,,,,,,0x2F7600 ,0x400000 ,
ixus980_sd990,100e,,,,,12691,dryos,31,40,0xff810000,0x1900,0x1FFFFFF,d4,,1,,1,0x3ce000,0x32000,1,,,,
ixus980_sd990,101b,,,,,12691,dryos,31,40,0xff810000,0x1900,0x1FFFFFF,d4,,1,,1,0x3ce000,0x32000,1,,,,
sx1,200h,,,,,12693,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,,,,,,,,
sx1,201a,,,,,12693,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,,,,,,,,
ixus870_sd880,100e,,,,,12694,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
ixus870_sd880,101a,,,,,12694,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
ixus870_sd880,102b,,,,,12694,dryos,31,40,0xFF810000,0x1900,0x1FFFFFF,d4,,1,,1,0x30e000,0x32000,1,,,,
d10,100a,,,,,12732,dryos,31,40,0xff810000,0x1900,0x03FFFFFF ,d4,,2,,1,0x34e000,0x32000,1,,0xFD200 ,0x300000 ,
