CAMERA,FIRMWARE,STATUS,SOURCE_FW,SOURCE_CAM,AUTOBUILD,PLATFORMID,OS,OSVER,DIGIC,ROMBASEADDR,MEMBASEADDR,MAXRAMADDR,KEYSYS,FI2FLAGS,DANCING_BITS,THUMB_FW,ARAM_MALLOC,ARAM_HEAP_START,ARAM_HEAP_SIZE,CHDK_IN_ARAM,EXMEM_MALLOC,EXMEM_HEAP_SKIP,EXMEM_BUFFER_SIZE,CHDK_IN_EXMEM
g5x,101c,,101b,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
g5x,101d,,,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
g5x,101e,,101d,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
g5x,110a,,101d,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
sx730hs,100b,,100c,,,13014,dryos,59,60,0xFC000000,0x8000,0x1fffffff,d4j,W,17,1,,,,,,,,
sx730hs,100c,,,,,13014,dryos,59,60,0xFC000000,0x8000,0x1fffffff,d4j,W,17,1,,,,,,,,
sx730hs,100d,,,,,13014,dryos,59,60,0xFC000000,0x8000,0x1fffffff,d4j,W,17,1,,,,,,,,
sx730hs,100e,,100d,,,13014,dryos,59,60,0xFC000000,0x8000,0x1fffffff,d4j,W,17,1,,,,,,,,
g7x2,101a,PREALPHA,,,,12988,dryos,58,70,0xE0000000,0x8000,0x3fffffff,d4i,W,16,1,1,0x006ce000,0x00022000,,,,,
g7x2,101b,PREALPHA,101a,,SKIP,12988,dryos,58,70,0xE0000000,0x8000,0x3fffffff,d4i,W,16,1,1,0x006ce000,0x00022000,,,,,
g7x2,110b,PREALPHA,,,,12988,dryos,58,70,0xE0000000,0x8000,0x3fffffff,d4i,W,16,1,1,0x006ce000,0x00022000,,,,,

Generated file - run 'make camera-info' to update
