0xffc93854,OutPort_FW
0xffc0a97c,Peek16_FW
0xffc0a960,Peek32_FW
0xffc0a998,Peek8_FW
0xffc0a918,Poke16_FW
0xffc0a8f4,Poke32_FW
0xffc0a93c,Poke8_FW
0xffd66a18,PostEventShootSeqToUI_FW
0xffd66914,PostLogicalEventForNotPowerType
0xffd66914,PostLogicalEventForNotPowerType_FW
0xffd66990,PostLogicalEventToUI
0xffd66990,PostLogicalEventToUI_FW
0xffc113d0,PostMessageQueue
0xffd82da0,PrintBmpVramInfo_FW
0xffc02e38,printclock_FW
0xffd82dd0,PrintCurrPalette_FW
0xffede594,Printf_FW
0xffd615f0,PT_atoi_FW
0xffd61b1c,PT_BatLvChange_Low_FW
0xffd61b0c,PT_BatLvChange_PreWeak_FW
0xffd61b24,PT_BatLvChange_SysLow_FW
0xffd61b14,PT_BatLvChange_Weak_FW
0xffd615ac,PT_EraseAllFile_FW
0xffd61b9c,PT_FinishBatteryTest_FW
0xffd61c94,PT_GetBatteryLevel_FW
0xffd617d8,PT_GetLocalDateAndTimeString_FW
0xffd61774,PT_GetLocalDateString_FW
0xffd61970,PT_GetLocalDayString_FW
0xffd618dc,PT_GetLocalHourMinSecString_FW
0xffd61880,PT_GetLocalMonthString_FW
0xffd61718,PT_GetLocalTimeString_FW
0xffd6182c,PT_GetLocalYearString_FW
0xffd61d7c,PT_GetLowBatLv_FW
0xffd61cac,PT_GetPreWeakBatLv_FW
0xffd6166c,PT_GetPropertyCaseInt_FW
0xffd61658,PT_GetPropertyCaseString_FW
0xffd61de4,PT_GetSysLowBatLv_FW
0xffd615fc,PT_GetSystemTime
0xffd615fc,PT_GetSystemTime_FW
0xffd61d14,PT_GetWeakBatLv_FW
0xffd61a1c,PT_LCD_BkColor_FW
0xffd61ad8,PT_LCD_BkColorDef_FW
0xffd615e4,PT_mod_FW
0xffd61a04,PT_PlaySound
0xffd61a04,PT_PlaySound_FW
0xffd619c0,PT_SetMessage_FW
0xffd61630,PT_SetPropertyCaseInt_FW
0xffd6161c,PT_SetPropertyCaseString_FW
0xffd61b3c,PT_StartBatteryTest_FW
0xffd619e8,PT_UndispMessage_FW
0xffd6dd64,PTM_RestoreUIProperty_FW
0xffe6cb98,PTPRspnd.ShowRemoteStg_FW
0xffc07eac,PutsCameraLogEvent_FW
0xffef4a1c,qsort
0xffef4a40,rand
0xffc6263c,Read
0xffefa1c0,read
0xffc6263c,Read_FW
0xffef75b4,readdir
0xffee616c,realloc
0xffc10fb8,ReceiveMessageQueue
0xffd822a0,RefreshPhysicalScreen
0xffd822a0,RefreshPhysicalScreen_FW
0xffd76f00,RefreshRectangleToDialog_FW
0xffd7704c,RefreshRegistedRectangleToDialog_FW
0xffc06890,RegisterEventProcedure_FW
0xffc10bc4,RegisterInterruptHandler
0xffd76f88,RegisterRefreshToDialog_FW
0xffc131e4,ReleaseRecursiveLock
0xffc625c8,Remove
0xffc5b3c4,RenameFile_Fut
0xffea63d8,ResetFocusLens
0xffe91068,ResetZoomLens
0xffd77418,ResizeDialogBox_FW
0xffd77eb4,ResizeDialogItem_FW
0xffd774bc,ResizeDialogItemToDialog_FW
0xffd768e8,ResizeVirtualWindow_FW
0xffc0a46c,RomCheckSum_FW
0xffc0b458,RotateConsoleZOder_FW
0xffede5ac,ScriptDisEnabled_FW
0xffede5c0,ScriptEnabled_FW
0xffeb5e3c,SetAE_ShutterSpeed
0xffd77d60,SetAttributeToDialogItem_FW
0xffd6aa8c,SetAutoShutdownTime
0xffd6aa8c,SetAutoShutdownTime_FW
0xffd76eac,SetBackgroundColorToDialogBox_FW
0xffc1b8a8,SetBattCheckMode_FW
0xffd99768,SetCurrentCaptureModeType
0xffd99768,SetCurrentCaptureModeType_FW
0xffd7df00,SetCurrentPalette_FW
0xffd7757c,SetDefaultMovingFocusToDialog_FW
0xffc108a0,SetEventFlag
0xffc627d0,SetFileAttributes
0xffd76c60,SetFocusDirectionToDialogItem_FW
0xffd76c70,SetFocusItemToDialogItem_FW
0xffd772f8,SetFocusScopeToDialog_FW
0xffc0309c,SetHClk18MHz_FW
0xffc03074,SetHClk36MHz_FW
0xffc03030,SetHClk72MHz_FW
0xffc05788,SetHPTimerAfterNow
0xffc05814,SetHPTimerAfterTimeout
0xffc02f78,SetLClk18MHz_FW
0xffc02f68,SetLClk36MHz_FW
0xffc02f58,SetLClk72MHz_FW
0xffc0314c,SetMClk18MHz_FW
0xffc03124,SetMClk36MHz_FW
0xffc030e0,SetMClk72MHz_FW
0xffcc8cec,SetMontblancVSize_FW
0xffd77558,SetOriginTypeToDialog_FW
0xffd7b420,SetPaletteToPhysicalScreen_FW
0xffd70418,SetParameterData
0xffc15334,SetPropertyCase
0xffd77c78,SetPropertyToDialogItem_FW
0xffd769d8,SetPropertyToDialogItemWithID_FW
0xffd68750,SetScriptMode
0xffd68750,SetScriptMode_FW
0xffc10c0c,SetSR
0xffd7df10,SetSystemColorMode_FW
0xffc04e8c,SetTimerAfter
0xffc04f28,SetTimerWhen
0xffd7b2e0,SetYUVPaletteIndex_FW
0xffd9d0d4,ShootCon_GetStatus_FW
0xffda1f58,ShootCon_PrintMemoryDump_FW
0xffda1f2c,ShootCon_SetEventHook_FW
0xffda1fe4,ShootCon_ShowAllSemaphores_FW
0xffda14ac,ShootCon_ShowState_FW
0xffee6434,ShowAllTaskInfo_FW
0xffd6a7ac,ShowAutoShutdownTime_FW
0xffc1b930,ShowBattCheckMode_FW
0xffc1ba24,ShowBattChkAdj_FW
0xffc08058,ShowCameraLog_FW
0xffc07fb4,ShowCameraLogInfo_FW
0xffd66a80,ShowLogicalEventName_FW
0xffe15ca0,shutdownDirectPrintUI_FW
0xffe04af0,ShutdownPlayAllMenu_FW
0xffe04a78,ShutdownRecAllMenu_FW
0xffc12068,SleepTask
0xffc12068,SleepTask_FW
0xffef8f6c,sprintf_FW
0xffef4a64,srand
0xffefa0c0,sscanf_FW
0xffe15318,StartDpConnect_FW
0xffe34a6c,StartDpMovieMenu_FW
0xffdf727c,StartDpofPlayLoading_FW
0xffe1fc8c,StartDpsDpofMenu_FW
0xffe26380,StartDpsMainMenu_FW
0xffe2bfb0,StartDpsStop_FW
0xffe1139c,StartDtConfirmMenu_FW
0xffe11c38,StartDtExecuteMenu_FW
0xffd7b004,StartGUISystem_FW
0xffdfa608,StartRecModeMenu
0xffdb4864,StartSwitchViewFinder_FW
0xffc1028c,StartUARTRedirect_FW
0xffc0a158,StartWDT_FW
0xffef76b0,stat
0xffc08338,StopCameraLog_FW
0xffc02f3c,StopClockSaver_FW
0xffe15590,StopDpConnect_FW
0xffdf744c,StopDpofPlayLoading_FW
0xffdb48b8,StopSwitchViewFinder_FW
0xffe11480,StoptDtConfirmMenu_FW
0xffe11d68,StoptDtExecuteMenu_FW
0xffc102a4,StopUARTRedirect_FW
0xffc0a1d4,StopWDT_FW
0xffef5290,strcat
0xffef52bc,strchr
0xffef52e0,strcmp
0xffef52e0,strcmp_FW
0xffef5474,strcpy
0xffef5474,strcpy_FW
0xffef6afc,strftime
0xffef55d8,strlen
0xffef55d8,strlen_FW
0xffef563c,strncmp
0xffef5680,strncpy
0xffef56c8,strpbrk
0xffef5704,strrchr
0xffef4e58,strtol
0xffef5000,strtoul
0xffdb48e4,SwitchViewFinder_FW
0xffdf7474,SyncStopDpofPlayLoading_FW
0xffc0a6a8,SystemEventDelete_FW
0xffc11b64,TakeSemaphore
0xffc11b64,TakeSemaphore_FW
0xffeffe00,taskCreateHookAdd
0xffeffd3c,taskDeleteHookAdd
0xfff0a484,taskLock
0xfff09cc0,taskName
0xfff0a0a4,taskResume
0xfff09ed0,taskSuspend
0xfff0a52c,taskUnlock
0xffead244,TerminateAdjustmentSystem_FW
0xffdf2eec,TerminateDpofUI_FW
0xffef6b28,time
0xffef164c,tolower
0xffef165c,toupper
0xffd771f0,TransferBitmapToDialog_FW
0xffd77180,TransferRectangleToDialog_FW
0xffc115f8,TryPostMessageQueue
0xffc1122c,TryReceiveMessageQueue
0xffc11ce8,TryTakeSemaphore
0xffdba500,TurnOffBackLight
0xffdba4d0,TurnOnBackLight
0xffd8ebac,UI_ShowStateOfRecMode_FW
0xffd68760,UiEvnt_ShowBitMaps_FW
0xffd687c0,UiEvnt_StartDisguiseCradleStatus_FW
0xffd687d4,UiEvnt_StopDisguiseCradleStatus_FW
0xffd8f058,UIFS_Capture_FW
0xffd8f068,UIFS_CaptureNoneStop_FW
0xffd8eef4,UIFS_ClosePopupStrobe_FW
0xffd8ef28,UIFS_MountExtFlash_FW
0xffd8eec0,UIFS_OpenPopupStrobe_FW
0xffd8efc0,UIFS_RestartPostingUIEvent_FW
0xffd8f008,UIFS_SetCaptureModeToM_FW
0xffd8f044,UIFS_SetCaptureModeToMacro_FW
0xffd8efcc,UIFS_SetCaptureModeToP_FW
0xffd8f08c,UIFS_SetCradleSetting_FW
0xffd8ecc8,UIFS_SetDialMovieRec_FW
0xffd8edcc,UIFS_SetDialPlay_FW
0xffd8ebc4,UIFS_SetDialStillRec_FW
0xffd8f074,UIFS_StartMovieRecord_FW
0xffd8f080,UIFS_StopMovieRecord_FW
0xffd8efb4,UIFS_StopPostingUIEvent_FW
