CAMERA,FIRMWARE,BETA_STATUS,SOURCE_FIRMWARE,SKIP_AUTOBUILD
sx30,100l,,,
sx30,100m,,100l,
sx30,100n,,,
sx30,100p,,,
sx40hs,100d,,,
sx40hs,100f,,,
sx40hs,100g,,,
sx40hs,100i,,,
sx400is,100b,ALPHA,,
sx410is,100c,ALPHA,,
sx410is,100b,ALPHA,100c,
sx420is,100a,PREALPHA,,SKIP_AUTOBUILD
sx430is,100b,ALPHA,,SKIP_AUTOBUILD
sx50hs,100b,,,
sx50hs,100c,,,
sx500is,100c,BETA,,
sx500is,100d,BETA,100c,
sx500is,100e,BETA,100c,
sx510hs,101a,ALPHA,,
sx510hs,100d,ALPHA,,
sx510hs,100c,ALPHA,100d,
sx510hs,100a,ALPHA,100d,
sx520hs,100c,ALPHA,,
sx520hs,100b,ALPHA,,
sx530hs,100c,ALPHA,,
sx530hs,100a,ALPHA,,
sx60hs,100b,ALPHA,,
sx60hs,100c,ALPHA,,
sx60hs,100f,ALPHA,,
sx60hs,100g,ALPHA,100f,
sx60hs,100h,ALPHA,,
sx610hs,100a,ALPHA,,SKIP_AUTOBUILD
tx1,100g,,,
tx1,101b,,,
sx280hs,102b,ALPHA,,
sx280hs,102c,ALPHA,,
sx280hs,102d,ALPHA,102c,
sx275hs,102b,ALPHA,102b,
sx275hs,102c,ALPHA,102c,
sx270hs,102b,ALPHA,102b,
sx270hs,102c,ALPHA,102c,
g7x,100b,ALPHA,,
g7x,100c,ALPHA,,
g7x,100d,ALPHA,,
m3,101a,PREALPHA,,
m3,120f,PREALPHA,,
m10,110d,PREALPHA,,
m10,110f,PREALPHA,,
m10,110g,PREALPHA,110f,
sx710hs,100a,ALPHA,,
sx710hs,101a,ALPHA,,
sx700hs,100d,ALPHA,,
sx700hs,100e,ALPHA,,
